             Luciferin  Scoring
RMM1_orig 0  152.44988  102.450
          1  143.82929   97.714
          2  137.95803   93.265
          3  137.93509   92.946
          4  138.09178   92.772
          5  138.76592   92.648
          6  138.17970   92.556
          7  137.85836   91.892
          8  134.65381   91.503
          9  136.72132   90.694
RMM1_mut1 0  145.20152   96.842
          1  139.67896   93.631
          2  133.03991   90.412
          3  133.38071   89.309
          4  130.02415   89.118
          5  130.99655   88.928
          6  129.41518   88.421
          7  129.83466   88.345
          8  128.75869   88.263
          9  127.89908   87.831
RMM1_mut2 0  146.45456  107.531
          1  148.56773  101.781
          2  144.68961   98.364
          3  138.57247   96.344
          4  136.51830   95.280
          5  136.49507   91.589
          6  135.32004   90.233
          7  132.26838   89.707
          8  134.50369   89.670
          9  132.68866   88.459
RMM1_mut3 0  186.16040  124.836
          1  153.55621  106.349
          2  150.67247  102.070
          3  146.54463   97.697
          4  143.11333   95.471
          5  140.50627   93.671
          6  137.39412   93.042
          7  133.69920   91.544
          8  132.91579   90.148
          9  135.02239   90.015
RMM1_mut4 0  130.75909  100.494
          1  142.29418   97.442
          2  142.22515   97.146
          3  132.06212   88.041
          4  125.10249   84.188
          5  125.76653   83.922
          6  121.98052   82.160
          7  119.85078   80.865
          8  118.45572   79.781
          9  119.65486   79.770
RMM1_mut5 0  147.95616   98.652
          1  133.69938   90.874
          2  133.43766   90.747
          3  134.26819   89.939
          4  132.41869   88.289
          5  128.19248   86.678
          6  128.05769   86.169
          7  118.39913   85.288
          8  125.79327   84.581
          9  126.61890   84.413
